,0
PMC7184499,"['Two drugs have exhibited a promising inhibitory effect: remdesivir (GS-5734), an experimental drug being developed for the treatment of Ebola virus infection; and chloroquine (CQ), a drug well-known for its effectiveness in treating malarial and autoimmune disease.', '5 As an emergent therapeutic approach, approval was given for remdesivir to have its treatment effect tested in a group of COVID-19 patients.']"
PMC7184507,"['3 Even in the general COVID-19 patient cohort, the creatinine kinase (CK) elevation (>200 U/L) was observed in 13% patients, most of whom did not have cytokine storm-induced systemic inflammatory response.']"
PMC7184878,"['To generate the models of SARS-CoV-2 3CLpro with lopinavir and ritonavir boundto protomer A, the positions of the original peptidelike inhibitor were changed to thecorresponding drug for each P position (Figure 1B,C).', 'In this work, the MD trajectoriesfrom 80 to 100 ns were thus extracted for further analysis in terms of (i) the bindingaffinity between lopinavir or ritonavir and SARS-CoV-2 3CLpro, (ii) key bindingresidues involved in drug binding, (iii) protein–drug H-bonding, and (iv) wateraccessibility at the enzyme active site.', 'Predicted Inhibitory Efficiency ::: Results and DiscussionThe susceptibility of lopinavir and ritonavir to SARS-CoV-2 3CLpro wasestimated using the MM/PB(GB)SA approach on 100 snapshots extracted from the last 20 ns ofsimulation.', 'According to the molecular mechanics (ΔEMM)calculations, we found that van der Waals (vdW) interaction is the main force inducingmolecular complexation with SARS-CoV-2 3CLpro of both lopinavir(ΔEvdW of −50.29 ± 0.62 kcal/mol) andritonavir (−74.09 ± 0.50 kcal/mol) and is ∼2–3-fold strongerthan the electrostatic attraction (ΔEele values of−19.68 ± 0.50 and −23.35 ± 0.56 kcal/mol, respectively).', 'Thisfinding was in a good agreement with the ΔEMM results of(i) these two anti-HIV drugs in complex with SARS-CoV 3CLpro15 and (ii) darunavir and amprenavir binding to the HIV-1 protease.', 'The predicted results suggested that ritonavir may have an∼1.4–2.0-fold greater inhibitory efficiency than lopinavir on the focusedtarget; however, it should be noted that this drug can clinically also boost the lopinavirefficacy in the fight against COVID-19.', 'However, the phenyl ring at the P1′ site of both HIV-1 protease inhibitors and 13bremains the same, and the P2 (larger and more hydrophilic than 13b) and P2′ (foundonly in HIV-1 protease inhibitors) regions of lopinavir and ritonavir strongly interactedwith SARS-CoV-2 3CLpro at the S2 and S2′ pockets, respectively (Figure 3).', 'Accordingly, on the basis of thisevidence, we proposed a rational design of novel protease inhibitor(s) derived fromlopinavir and ritonavir to enhance the binding efficiency with SARS-CoV-23CLpro as follows: (i) changing the phenyl ring in the P1 region to theγ-lactam ring to increase the extent of H-bond formation with residues F140, H163,and E166, (ii) introducing P3 polar moieties (e.g., pyridone ring) to form H-bonds withthe negatively charged E166, and (iii) adding the reactive α-ketoamide group locatedbetween positions P1 and P1′ to covalently bond with the catalytic residue C145, asdepicted in Figure 7.', 'Protein–Drug Hydrogen Bonding ::: Results and DiscussionAlthough the protein–drug interactions were primarily contributed by the vdWinteractions, the formation of H-bonds between both anti-HIV drugs and their surroundingresidues in the active site of SARS-CoV-2 3CLpro could be an important factorin the inhibition of this targeted enzyme.', 'It can be seen from Figure 10 that the SASAs for protomer B (blue) were 883.81 ± 75.24 and918.15 ± 110.03 Å2 for the lopinavir and ritonavir systems,respectively.', 'ConclusionsIn this work, the binding pattern and susceptibility of the two HIV-1 protease inhibitorslopinavir and ritonavir in complex with SARS-CoV-2 3CLpro were fully revealed byall-atom MD simulations, binding free energy estimation, and PIEDA based on the MM/PB(GB)SAand FMO-MP2/PCM/6-31G* calculations, respectively.', 'According toΔGbind prediction, the susceptibility against SARS-CoV-23CLpro of ritonavir was somewhat higher than that of lopinavir, supported byenergy stabilization from individual residues that resulted from both methods: (i) M49,M165, P168, and Q189 from MM/GBSA for lopinavir and L27, H41, M49, F140, N142, G143, H164,M165, and E166 from MM/GBSA for ritonavir and (ii) H41, A46, M49, E166, L167, L187, Q189,A191, and A193 from FMO-MP2/PCM/6-31G* for lopinavir and N142, G143, S144, C145, M165, E166,D187, and Q189 from FMO-MP2/PCM/6-31G* for ritonavir.']"
PMC7184967,"['Currently, it is not known how long there were active COVID-19 cases circling in Europe before different countries started to react to the epidemic.', 'France already had 1 death case in February and was the slowest to react nationwide.', 'Compared to China, European countries had time to react, yet national restrictions were placed late.']"
PMC7185104,"['Parameters associated with imaging progression on chest CT ::: RESULTSVariables including age, gender, disease history, epidemiology, chest CT imaging, therapeutic strategies, period from onset to admission, ALRI, APRI, MLR, NLR, PLR, SII, WBC, neutrophils, lymphocytes, monocytes, platelet, red blood cells (RBC), hemoglobin, C-reactive protein (CRP), erythrocyte sedimentation rate (ESR), procalcitonin, alanine aminotransferase (ALT), aspartate aminotransferase (AST), GGT, lactate dehydrogenase (LDH), total bilirubin (TBiL), albumin, globulin, urea, creatinine, eGFR, lactic acid, haptoglobin, acid glycoprotein, cystatin C, homocysteine, retinol-binding protein, cardiac troponin (cTnI), myoglobin, brain natriuretic peptide prohormone (pro-BNP), prothrombin time, prothrombin activity (PTA), international normalized ratio (INR), D-dimer were included in the univariate analysis.']"
PMC7187996,"['In the United States and China, a randomized clinical trial has been initiated to test the efficacy of remdesivir [29].', 'Chloroquine, a drug used worldwide, has a promising effect in the treatment of severe pneumonia by COVID-19 at a dose of 500 mg2 times a day [30-31]; however, Zhou questions its use due to its side effects.', 'Instead of using chloroquine, Zhou suggests hydroxychloroquine as an alternative treatment [32].']"
PMC7187998,"['Here we present a 49-year-old male patient with comorbid conditions and presenting with multifocal COVID-19 pneumonia who we successfully treated with hydroxychloroquine.', 'After the SARS-CoV-2 test came back positive, on the recommendations of pulmonary medicine and infectious disease teams we started oral hydroxychloroquine (Plaquenil) 200 mg twice daily for five days and discontinued azithromycin and ceftriaxone.', 'After the third day on hydroxychloroquine, his fever has subsided and the patient started feeling better.']"
PMC7188024,"['Novel cleaning regimens, including the use of UV light, vaporized hydrogen peroxide, or other methods, have been suggested.']"
PMC7188030,"['Some preliminary data suggest that severe lymphopenia and elevated levels of C-reactive protein (CRP), interleukin-6, cardiac troponin I, and D-dimer correlate with the severity of hypoxemia and may predict hospital mortality.']"
PMC7188032,"['12 Moreover, hydroxychloroquine (EC50 = 0.72 μmoles/L) was found to be more potent than chloroquine (EC50 = 5.47 μmoles/L) in vitro against SARS-CoV-2.13 A recent clinical trial in France reported that the use of hydroxychloroquine was associated with a significant reduction of SARS-CoV-2 viral load.', '15 The relevance of (hydroxy)chloroquine for treating COVID-19 is now being evaluated in larger, more controlled, multicenter randomized clinical trials.', '16Hydroxychloroquine and chloroquine are well absorbed with a bioavailability of 70%–80%.', 'Both drugs have long and variable terminal elimination half-lives (approximately 40–60 days).18,20,21Dosing and Mode of Administration in COVID-19 ::: (HYDROXY)CHLOROQUINEIn patients with COVID-19, chloroquine has been administered orally at a dose of 300 mg (500 mg for chloroquine phosphate) for adults, 2 times/day for a maximal duration of 10 days.', 'Hydroxychloroquine therapy is started at a loading dose of 400 mg b.i.d.', 'Avoiding toxic exposure is even more important considering the long half-life of (hydroxy)chloroquine; hence, monitoring (hydroxy)chloroquine concentrations is suggested for this purpose.', '36 LPV also blocks a postentry step in the MERS‐CoV replication cycle, conferring this drug a promising potential agent for COVID-19.37 Recent results based on an in silico approach showed that several HIV inhibitors such as LPV, ritonavir (RTV), and saquinavir strongly interact with the active site of COVID-19 proteinase,38 and researchers in China reported that DRV inhibited COVID-19 infection in vitro,39 validating the use of PI against COVID-19.', 'However, in vitro results suggest that remdesivir EC90 against COVID-19 is compatible with concentrations observed in vivo.', '85 At present, 9 clinical trials are registered to evaluate the safety and antiviral activity of remdesivir in patients with COVID-19 (www.clinicaltrial.gov accessed April 1, 2020).', 'Enrollment in clinical trials is normally the primary way to access remdesivir.', ""However, to streamline the emergency access process, remdesivir's manufacturer Gilead (Foster City) is transitioning from individual compassionate use requests to expanded access programs in order to respond to the COVID-19 outbreak."", 'PK data indicate that the half-life of remdesivir is short while the nucleoside triphosphate metabolite has a longer half-life of approximately 20 hours in humans.', 'Interaction With IS Drugs and Recommendations ::: RemdesivirNo clinical interaction is expected between any of the above-mentioned ISD and remdesivir.', 'What happens at the cellular level is a high production of GM-CSF and others inflammatory cytokines by CD4+ T cells with further activation of CD14+ CD16+ monocytes to produce interleukin-6 (IL-6).', 'A multicenter, randomized, controlled clinical trial is under way to examine the efficacy and safety of tocilizumab in patients with COVID-19 (ChiCTR2000029765), administered as compassionate use off label for this new pathology.', 'After intravenous dosing, tocilizumab undergoes biphasic elimination from the circulation.']"
PMC7188049,"['The binding affinity of SARS-CoV-2 with ACE2 seems stronger than SARS-CoV, with alterations in several amino acid residues allowing for enhanced hydrophobic interactions and salt bridge formations, which may explain the considerably larger global influence of COVID-19 than the initial SARS.16,42 Moreover, SARS-CoV-2 has evolved to utilize a wide array of host proteases including cathepsin L, cathepsin B, trypsin, factor X, elastase, furin, and TMPRSS2 (transmembrane protease serine 2) for S-protein priming and facilitating cell entry following receptor binding.', '43 So far, TMPRSS2 and cathepsin L/B mediates S-protein priming of SARS-CoV-2, and camostat mesylate, a serine protease inhibitor combined with cathepsin L/B inhibitor, E-64d blocked SARS-CoV-2 entry.']"
PMC7188058,"['46Antiviral and Antimalarial Agents ::: TherapeuticsLopinavir and ritonavir are HIV protease inhibitors that demonstrated antiviral effects in vitro against SARS-CoV (Figure 5A) and decreased viral loads in nonhuman primates infected with Middle East respiratory syndrome-CoV (Figure 5B).54,55,80 An open-label randomized controlled trial, however, did not show efficacy in patients with COVID-19 (Figure 5C).56 Remdesivir, a nucleoside analogue initially developed for Ebola, was also effective against SARS/Middle East respiratory syndrome-CoV in vitro and in murine and nonhuman primate models.', '57,58 Importantly, remdesivir was also able to inhibit SARS-CoV-2 in vitro.', '59 Thus far, however, the only clinical evidence of remdesivir efficacy in COVID-19 is a case report.', '60 Ribavirin showed similar therapeutic potential in a preclinical study with Middle East respiratory syndrome-CoV-infected rhesus macaques, but these findings have not been translated to COVID-19.61 Finally, favipiravir was recently tested in an open-label randomized trial and showed faster resolution of fever and cough but similar rates of respiratory failure compared to the control group receiving umifenovir.', 'Both chloroquine and hydroxychloroquine showed inhibitory effects against SARS-CoV-2 in vitro.', '59,64 Hydroxychloroquine (with or without adjunctive azithromycin) has also been claimed to be effective in patients with COVID-19, but this study had several major shortcomings.', 'Although more recent trials involving hydroxychloroquine improved in design and execution, the evidence for efficacy remains tentative; further evaluation will be necessary to justify the routine use of hydroxychloroquine in COVID-19.81 Finally, serine protease inhibitors that target viral entry also represent a potential therapy.', 'SARS-CoV-2 gains entry into the cell through a process that requires priming of the S protein by the host serine protease TMPRSS2, which can be inhibited by a clinically available serine protease inhibitor.']"
PMC7188063,"['1Many clinical trials are currently investigating potential medications to treat COVID-19 including remdesivir (a prodrug in development), immunoglobulins, arbidol hydrochloride combined with interferon atomization, ASC09F plus oseltamivir, ritonavir plus oseltamivir, lopinavir plus ritonavir and some other drug (https://clinicaltrials.gov/ct2/results?cond=2019nCoV&term=&cntry=&state=&city=&dist=), but no specific treatment or vaccine is approved yet.', 'In addition, chloroquine phosphate (used to prevent and treat malaria and some inflammatory conditions) was found to have acceptable safety and demonstrated efficacy in the treatment of COVID-19-associated pneumonia.', 'The patient’s lung cancer was initially treated with gefitinib (an epidermal growth factor receptor [EGFR] inhibitor) starting in February 2016, and the patient was subsequently started on osimertinib monotherapy in September 2017, when the gefinitib resistance-causing mutation EGFR T790M was detected upon disease progression.', 'In the reported case, the patient’s clinical condition and performance status permitted continued osimertinib treatment despite the diagnosis of COVID-19.Wang and Zhang5 pointed out that during the COVID-19 pandemic, the primary risk for patients with cancer is limited access to required health care and inability to receive necessary medical services in a timely fashion, especially in high-risk epidemic areas like Wuhan, China, where there is a high demand on medical staff and health care facilities.', '6GUIDELINES AND CLINICAL RESOURCESMany clinical resources, including guidelines for COVID-19 prevention and management, have recently been published to guide cancer patients, health care professionals, and cancer centers on the proper recommendations and measures to fight this contagious disease and to maximize the use of the available resources in order to sustain health services to cancer patients.']"
PMC7188157,"['Like SARS-CoV, SARS-CoV-2 binds to the angiotensin I converting enzyme 2 (ACE2) receptor through the N-terminal S1 subunit,6-8 which is subsequently cleaved by the host transmembrane serine protease 2 (TMPRSS2) to expose the C-terminal S2 subunit that induces virus-cell fusion.', '20 Certain biologics, notably tocilizumab, an anti-interleukin (IL)-6R antibody, may have some efficacy to prevent death.', 'Stratifying patients by medication showed that the medications used to treat IBD did not increase expression of these genes, and there was a trend for a decrease in the expression of ACE2 in patients on anti-tumor necrosis factor drugs, vedolizumab, ustekinumab, and steroids compared to those taking no medications.']"
PMC7188448,"['Case presentationAn 80-year-old male with a history of coronary artery disease post bypass grafting, paroxysmal atrial fibrillation (AF) on warfarin for stroke prophylaxis, acid reflux, hypertension, and chronic kidney disease presented to our emergency department with the chief complaint of fatigue, confusion, and dry cough for the last two weeks.', 'Influenza screen was negative; nasopharyngeal swab for coronavirus 19 testing was sent, blood cultures were drawn, and the patient was commenced on intravenous doxycycline and ceftriaxone before transfer to our service on the regular medical floor (RMF).On the RMF, the patient was initially managed as community-acquired pneumonia with a COVID-19 rule out status.']"
PMC7188494,"['Oseltamivir, lopinavir/ritonavir, and umifenovir were common antiviral drugs used in our treatment protocols.', 'Further, some patients tested positive for influenza virus antibodies, so oseltamivir antiviral therapy was used.']"
PMC7189076,"['Because of the absence of fever and respiratory symptoms, it was decided to keep her in isolation at home, but the planned fourth cycle of paclitaxel and carboplatin therapy was postponed.']"
PMC7189178,"['To address the role of angiotensin in lung injury, there is an ongoing clinical trial to examine whether losartan treatment affects outcomes in COVID-19 associated ARDS (NCT04312009).', 'Of note, some of the therapies empirically used to treat SARS-CoV-2 infections such as chloroquine, have known effects on myocyte repolarization [35], resulting in increased risk of QT prolongation and subsequent arrhythmia.']"
PMC7189411,"['To infect a cell, viruses use spike protein (SP) to bind the cell membrane, a process activated by specific cellular enzymes such as trypsin, furin, and cathepsin L (Jaimes & Whittaker, 2018; Li et al., 2017; Millet & Whittaker, 2015).', '(2020) exhibited that SARS-CoV-2 utilizes the SARS-CoV receptor ACE-2 for specific cellular internalization and the TMPRSS2 as a serine protease for SP cleavage.']"
PMC7189412,"['3C-like proteinase (3CLpro) is a cysteine protease present in the Coronavirus replicase polyprotein.', '2′-OMTase of SARS-CoV-2 ::: Binding pattern of drug molecules against 3CLpro and 2′-OMTase ::: Results and discussionThe predicted model of 2′-O methyltransferase (2′-OMTase) (see Figure 2) comprises of a core MTase domain, S-Adenosyl methionine (SAM) binding region and a cap-binding groove.', 'In the present study, we have identified two drugs against 3CLpro (Raltegravir and Paritaprevir) and two drugs against 2′-OMTase (Bictegravir and Dolutegravir), which are supposed to act as potential inhibitors against COVID-19.']"
PMC7189413,"['Recent study has shown that the cellular transmembrane protease serine 2 (TMPRSS2) is used by COVID-19 for the purpose of entering the host cells, and blocking TMPRSS2 might offer a promising treatment option and prevent the virus from entering the host cells (Hoffmann et al., 2020).', 'Transmembrane serine proteases are connected to some viral respiratory infections, where they facilitate the entry of the virus into the lungs (Shulla et al., 2011).', 'In this study, the structure-based virtual screening identified four commercially available drugs (Talampicillin, Lurasidone, Rubitecan and Loprazolam) with a potential inhibition of Mpro and TMPRSS2 enzymes.']"
PMC7189491,['Recent interest has focused on the utility of CQ derivatives such as hydroxychloroquine in treating infections of the novel coronavirus termed as COVID-19 which have reached pandemic status [16].']
PMC7189648,['Culture medium without exposure to the heparin blood collected tubes was used for control dilution series.']
PMC7189789,"['If misleading or incorrect information was transmitted to the public, the people may get anxious and react to the information in many ways, including making a panic purchase and trying unnecessary or even detrimental medicine regimens.']"
PMC7190200,['There are no data on effective antiviral drugs (ie remdesivir or lopinavir/ritonavir) and anti-cytokine storm (ie tocilizumab) for children with COVID-19 to date.']
PMC7190394,"['Recommended antiviral drugs by the NHCC include interferon-α, lopinavir/ritonavir and ribavirin.', 'Because sedative and hypnotic drugs such as oxazepam and lorazepam are not metabolised by the CYP system, these are quite safe when used in combination with the recommended antiviral drugs.']"
PMC7191253,"['1 Changes in the coagulation system (ie, D-dimer and platelet abnormalities)2,6 and in inflammatory biomarkers (eg, interleukin-6, C-reactive protein, and ferritin)7 have been reported in COVID-19 patients.', 'In patients with stroke, the presence of COVID-19 could be a potential extrinsic factor in the genesis or worsening of stroke.']"
PMC7191310,"['COVID-19–infected patients harbor an expanded population of circulating monocytes that secrete both IL-6 and IL-1β (Wen et al., 2020Preprint; Zhang et al., 2020Preprint); as a result, patients with COVID-19 have elevated levels of serum IL-6, as well as lactate dehydrogenase levels, compared with healthy controls (Chen et al., 2020a).', 'Circulating lactate dehydrogenase is a marker of pyroptosis—a form of nonprogrammed cell death driven primarily by inflammasome-mediated IL-1β production that results in release of cytoplasmic proteins and factors (Rayamajhi et al., 2013).']"
PMC7191555,['Levofloxacin treatment was thus stopped and changed to combined anti-infection treatment of amoxicillin and clavulanate potassium and doxycycline.']
PMC7192200,"['A case report of a patient with EGFR (L858R, T790M) mutant metastatic lung adenocarcinoma and diagnosed with COVID-19 infection maintained his daily osimertinib concomitantly with broad-spectrum antibiotics and antiviral treatment with lopinavir plus ritonavir uneventfully [24].']"
PMC7192201,['We noted that the patients and their family feared of contracting the COVID-19 infection during the hospital and were reluctant to accept any treatment modification or suspension except for few elderly patients that accepted the switch to oral chemotherapy such as replacing 5-fluorouracil with capecitabine for colon cancer patients and hormonal therapy for castrate resistance prostate cancer patients.']
PMC7192564,"['Risk factors associated with death for COVID-19 ::: ResultsOn the univariate analysis, the risk factors associated with death at hospital admission were older age, male gender, hypertension, diabetes, cardiovascular disease, raised white blood cell counts, elevated level of neutrophil counts, thrombocytopenia, creatine kinase-MB, lactate dehydrogenase, alanine aminotransferase, aspartate aminotransferase, and creatinine (Table 4).', 'Remdesivir, a novel nucleotide analog antiviral drug, has been used in the first case with COVID-19 in the USA, and a clinical trial of remdesivir in SARS-CoV-2 infection is in progress [21].', 'Remdesivir and chloroquine have been shown to effectively inhibit the SARS-CoV-2 in Vero E6 cells [22].', 'Moreover, the effects of abidol, oseltamivir, or methylprednisolone in SARS-CoV-2 infection have not been fully evaluated.']"
PMC7193851,"['Fifteen patients were treated with IFN-α together with other antiviral drugs, including oseltamivir (1 of 16), lopinavir/ritonavir (11 of 16), acyclovir (1 of 16), moxifloxacin (5 of 16), methylprednisolone (2 of 16), γ-globulin (2 of 16), vancomycin (1 of 16), and meropenem (1 of 16), either alone or in combination.']"
PMC7193856,"['In one single arm study on 20 patientws with confirmed COVID-19, treatment with hydroxychloroquine was associated with viral load reduction, and this effect seemed to be reinforced by the combination with azithromycin (15).']"
PMC7195977,"['COVID-19 is sensitive to sodium hypochlorite ( 0.1%–0.5%), 70% ethyl alcohol, povidone-iodine (1% iodine), chloroxylenol (0.24%), 50% isopropanol, 0.05% benzalkonium chloride, %1 cresol soap, or hydrogen peroxide (0.5%–7.0%) (27).', 'All surfaces including standard floor, walls, and objects in COVID-19 isolation areas should be disinfected with solutions that have 1000 mg/L chlorine.', 'For general surface disinfection of labs, sodium hypo chloride 1000 ppm (0.1%) that has proven effective for viruses that have viral envelopes and specifically for spilled blood 10,000 ppm (%1), 62–71% ethanol, 0.5% hydrogen peroxide, quaternary ammonium compounds, and phenolic compounds can be effective for COVID-19.']"
PMC7195979,"['The WHO is launching “Solidarity” clinical trial for COVID-19 treatments to further evaluate remdesivir, hydroxychloroquine/chloroquine, and lopinavir-ritonavir with and without interferon beta11World Health Organization (2020).', 'In the 2014 Ebola outbreak, close to 30, 000 individuals developed Ebola viral disease, and numerous therapies were tested against this virus, including chloroquine, hydroxychloroquine, favipiravir, brincidofovir, monoclonal antibodies, antisense RNA, and convalescent plasma, among many others.', 'The most frequently used agents both in Turkey and all over the world including chloroquine, hydroxychloroquine, lopinavir/ritonavir, favipiravir and remdesivir will be reviewed here44T.C.', 'com/sites/default/files/documents/covid-19/covid19-antiviral-pharmacotherapy-recommendations.pdf [accessed 12 April 2020].. Nitazoxanide and ivermectin were also included in this review as they have recently been reported to have an activity against SARS-CoV-2 in vitro and are licensed for the treatment of some other human infections.', 'An early report from China suggested that chloroquine usage was associated with reduced progression of the disease and decreased duration of symptoms [12].', 'While the combination of HCQ with azithromycin resulted in 100% viral clearance in 6 patients, HCQ alone resulted in %57 clearance in 14 patients (P < 0.001) [14].', 'The same group also published the results of 80 COVID-19 patients receiving a combination of HCQ and azithromycin.', 'Chloroquine diphosphate in two different dosages as adjunctive therapy ofhospitalized patients with severe respiratory syndrome in the context of coronavirus (SARS-CoV-2) infection: preliminary safety results of a randomized, double-blinded, phase IIb clinical trial (CloroCovid-19 Study) [online].', 'Favipiravir versus arbidol for COVID-19: a randomized clinical trial[online].', 'In patients with mild-moderate COVID-19, 7 day’s clinical recovery rate was 55.86% in the arbidol group and 71.43% in the favipiravir group (P = 0.0199).', 'For mild-moderate COVID-19 patients the time of fever reduction and cough relief in the favipiravir group was significantly shorter than that in the arbidol group (both P < 0.001), no difference was observed of auxiliary oxygen therapy or noninvasive mechanical ventilation rate (both P > 0.05).', 'The most possible adverse events were abnormal liver function tests, psychiatric symptom reactions, digestive tract reactions and raised serum uric acid [3 (2.50 %) in arbidol group vs. 16 (13.79%) in favipiravir group, P < 0.0001].', 'Remdesivir has broadspectrum activity against members of several virus families, including filoviruses (e.g., Ebola) and coronaviruses [e.g., SARS-CoV and Middle East respiratory syndrome coronavirus (MERSCoV)] and has shown prophylactic and therapeutic efficacy in nonclinical models of these coronaviruses.', 'In vitro testing has also shown that remdesivir has activity against SARS-CoV-2 with an EC50 value of 1.76 μM in Vero E6 cells suggesting its working concentration is likely to be achieved in nonhuman primate models [8].', 'Treatment with intravenous remdesivir showed significant improvement for the first COVID-19 case in US [24] and then a trial has been initiated quickly to assess the efficacy and safety of remdesivir in patients hospitalized with 2019-nCoV infection.', 'In a cohort of patients hospitalized for severe Covid-19 who were treated with compassionate use remdesivir, clinical improvement was observed in 36 of 53 patients (68%) [25].', 'As there was no placebo or active comparator in this study, it is hard to draw any concrete conclusions and measurement of efficacy will require results of ongoing randomized, placebo-controlled trials of remdesivir therapy.', 'Protease is a key enzyme in coronavirus polyprotein processing and lopinavir and/or ritonavir has anti coronavirus activity in vitro.', 'Most in vitro studies have shown that SARS‐CoV could be inhibited by lopinavir and that the EC50 of lopinavir is acceptable.', 'Lopinavir showed an antiviral effect against SARS-CoV-2 virus in Vero E6 cells with the estimated EC50 at 26.63 μM [26].', 'In another study of of 47 patients with COVID-19; compared with the standard of care (arbidol plus IFN-α inhaler) (SOC) (5 patients), the combination treatment with LPV/r plus SOC (42 patients) has resulted in a shorter time (test group: 4.8 ± 1.94 days vs. control group: 7.3 ± 1.53 days, P = 0.0364) to return normal body temperature and to be negative for SARS-CoV-2 test in clinical samples (7.8 ± 3.09 days vs. 12.0 ± 0.82 days, P = 0.0219) [31].', 'In another study, 44 patients with mild/moderate COVID-19 were randomly assigned to receive LPV/r (21 patients), arbidol(16 patients) and no antiviral medication as control (7 patients).', 'It was concluded from this study that LPV/r or arbidol monotherapy seems little benefit for improving the clinical outcome of mild/moderate COVID-19 and LPV/r might lead to more adverse events1515Li Y, Xie Z, Lin W, Cai W, Wen C, et al.', 'An exploratory randomized controlled study on the efficacy and safety of lopinavir/ritonavir or arbidol treating adult patients hospitalized with mild/moderate COVID-19 (ELACOI).', 'Although the in vitro activity of nitazoxanide against SARS-CoV-2 is encouraging, more data are clearly needed to determine its role in the management of COVID-19 [26]1616Padmanabhan S (2020).', 'Potential dual therapeutic approach against SARS-CoV-2/COVID-19 with Nitazoxanide andHydroxychloroquine [online].Website https://www.researchgate.net/profile/Srivatsan_Padmanabhan/publication/339941717_Potential_dual_therapeutic_approach_against_SARS-CoV-2COVID-19_with_Nitazoxanide_and_Hydroxychloroquine/links/5e825a6aa6fdcc139c173bc2/Potential-dual-therapeutic-approach-against-SARS-CoV-2-COVID-19-with-Nitazoxanide-and-Hydroxychloroquine.pdf.', 'In an in vitro study, ivermectin was found to be an inhibitor of the SARS-CoV-2, with a single addition to Vero-hSLAM cells 2 h post infection with SARS-CoV-2 able to effect ~5000-fold reduction in viral RNA at 48 h. Authors hypothesize that this was likely through inhibiting IMPα/β1- mediated nuclear import of viral proteins (as shown for other RNA viruses) and this inhibition disrupts the immune evasion mechanism of virus [38].']"
PMC7195984,"['Potential antiinflammatory treatments used in Rheumatology for COVID-19 Chloroquine (CQ) and hydroxychloroquine (HCQ) are 4-aminoquinoline derivatives that are approved by the U.S. Food and Drug Administration (FDA) for the treatment of malaria, systemic lupus erythematosus, rheumatoid arthritis (RA) and decades of experience in use of these disorders.', 'Chloroquine phosphate competes with the porphyrin and binds to the viral protein, thereby inhibits the viral protein’s attack on heme or binding to the porphyrin.', 'A small clinical trial in China examined the effectiveness of tocilizumab in 21 patients who met the criteria for severe or critical COVID-19, including respiratory failure, requiring mechanical ventilation, shock, or admission to the ICU with multiple organ failures.', 'Tocilizumab improved hypoxemia, fever, lymphopenia, CRP, and lung infiltration in most of the patients treated, without serious adverse events55Xu X, Han M, Li T, Sun W, Wang D, et al.', 'Effective treatment of severe COVID-19 patients with tocilizumab [online].', 'Since there is an urgent need for the severe COVID-19 treatments, based on these limited data, tocilizumab is included in the treatment algorithms of many countries.', 'Besides above mentioned common properties of JAK inhibitors, baricitinib may block AP-2-associated protein kinase 1 (AAK1) and cyclin G-associated kinase (GAK) which are host kinases that regulate viral endocytosis, according to an artificial intelligence search of viral characteristics of SARS-CoV-2.', 'This effect is only restricted to baricitinib among other JAK inhibitors and it may block viral entry and assembly of virus particles into pneumocytes in therapeutic doses used in RA [85].', 'Currently, baricitinib (NCT04320277, NCT04340232, NCT04321993), tofacitinib (NCT04332042) and ruxolitinib (NCT04331665) studies are ongoing.', 'There are several anakinra studies registered for COVID-19, testing 100 mg daily subcutaneous injection for 28 days to 400–600 mg/day intravenous for 5–7 days (NCT04339712, NCT04330638).', 'Potential antiinflammatory treatments used in Rheumatology for COVID-19 Colchicine has been approved for gout and familial Mediterranean fever.', 'In recent years, colchicine has attracted attention in the management of cardiovascular diseases by suppressing their inflammatory component [92].', 'Trials investigating the efficacy of conventional therapeutic doses of colchicine have been registered for the treatment of COVID-19 (NCT04322682, NCT04328480, NCT04326790).', 'Mycophenolate exhibited strong antiviral effects on SARS-CoV and MERS-CoV as demonstrated in vitro studies, with its interaction with viral proteases [98].', 'Potential antiinflammatory treatments used in Rheumatology for COVID-19 An association between ibuprofen and worse outcome in COVID-19 patients was speculated, with very weak evidence [100].', 'Another NSAID, indomethacin, reported to have direct antiviral effect on SARS-CoV by interfering with viral RNA synthesis, independent of cyclooxygenase inhibition in an in vitro study.']"
