"label","sentence"
2,"It is an adenosine analogue, which incorporates into nascent viral RNA chains and results in premature termination."
4,"In contrast to the above findings with SARS-CoV, hydroxychloroquine was found to be more potent against SARS-CoV-2 [39]."
2,"This result indicates that serum urea, CREA, and CysC could be used as potential biochemical biomarkers to identify a severe COVID-19 patient."
4,"Although we mainly conducted in vitro assays to experimentally validate the anti-SARS-CoV-2 effects of olaparib and CVL218 due to limited time, it is natural to speculate that other PARP1 inhibitors may also have antiviral activities against SARS-CoV-2 infection, based on our computational prediction and experimental validation results."
0,"However, to date, there is no clinical evidence to support the use of hydroxychloroquine as a treatment for SARS-CoV-2 infection."
4,"Thalidomide has an anti-inflammatory action due to its ability to speed up the degradation of messenger RNA in blood cells and thus reduce tumor necrosis factor-α (TNFα)."
4,"In our opinion, this pro-atherogenic aspect might made Nilotinib a sub-optimal candidate in the COVID-19 context."
2,"SARS-CoV and SARS-CoV-2 use angiotensin converting enzyme 2 (ACE2), while MERS-CoV uses CD26 as a receptor; 2) S2 is cleaved by a cell surface transmembrane protease, serine 2 (TMPRSS2), so-called priming, which exposes the fusion peptide in S2 protein, allowing it to attach to the plasma membrane resulting in the fusion between envelope and the plasma membrane (envelope fusion)."
4,"16.20067405 doi: medRxiv preprint nitrogen oxides have an effect on COVID-19 related cases and death while ozone only has an effect on COVID-19 deaths."
0,"At the time of designing this study, it was said that NSAIDs such as ibuprofen can increase the risk of complications when used during viral infections (including the coronavirus infection)."
0,"Continuous renal replacement therapy and heparin exposure induce critical thrombocytopenia"
2,"The concentration of teicoplanin required to inhibit 50% of viruses (IC 50 ) in vitro was 1.66 μM, which is much lower than the concentration reached in human blood (8.78 μM for a daily dose of 400 mg) [7] ."
2,"Similarly, the mean level of lactate dehydrogenase level detected in the blood of children infected with SARS-CoV-2 (315.75U/L) was elevated relative to the recommended reference range for children aged 1 to 10 years (<305U/L) 48 ."
2,"This study was specifically conducted to examine the various dosages of chloroquine and hydroxychloroquine utilized in previous clinical trials registered and underwent for the treatment of pneumonia caused by SARS-CoV-2."
4,"medRxiv preprint aerosol and the digestive tract of transmission is unclear, the general population susceptibility, the novel coronavirus is sensitive to ultraviolet light and heat, most disinfectants can effectively killed virus"
2,"Their treatment included Methylprednisolone 40 mg daily intravenous (IV) injections for one and five days for the male and the female patient respectively, human gamma globulin 10g IV qd for five and seven successive days for the male and the female patient, respectively, and then the dose was changed to 5g for both of them, in addition to Moxifloxacin, Oseltamivir, Arbidol hydrochloride, and Tanreqing (Chinese patent medicine)."
4,"Furthermore, this study strongly supports the repurposing of heparin and its derivatives as antiviral agents, providing a rapid countermeasure against the current SARS-CoV-2 outbreak."
2,"Recently, we demonstrated that COVID-19 severity in adult patients was strongly associated with higher interleukin-6 (IL-6) levels."
4,"For critically ill adults with COVID-19 who develop fever, acetaminophen might be a better choice for temperature control than NSAIDs."
4,"In conclusion, early, low-dose and short-term application of methylprednisolone was associated with better clinical outcomes in severe patients with COVID-19 pneumonia, and should be considered before the occurrence of ARDS."
4,"Conclusions With an effective reduction of pulmonary viral load in a murine model of SARS-CoV infection, potent antiviral activity against SARS-CoV-2, acceptable safety profile of parenteral remdesivir therapy in two case reports, and a randomised trial of Ebola virus disease, the clinical use of remdesivir in the cases of COVID-19 is are highly anticipated."
0,"The simultaneous exposure to air pollutants such as particulate matter (PM) and Nitrogen dioxide (NO2) alongside COVID-19 virus is expected to exacerbate the level of COVID-19 infection and risk of fatality [9, 10] ."
2,"The viral cDNA was used as input for multiple overlapping PCR reactions (~2.5kb each) spanning the viral genome using Platinum SuperFi master mix (primers provided in Supplementary Table S1 )."
4,"A recent study demonstrates in cell culture experiments with simian Vero E6 cells infected with SARS-CoV-2 that remdesivir is inhibitive against SARS-CoV-2 infection at EC90 of 1.76 µM, a concentration achieved in vivo in nonhuman primate models [36] ."
0,"Although currently there are noapproved antiviral drugs for the treatment of human coronavirus infections available,preclinical data with the nucleotide analog remdesivir (RDV) are promising, and human safetydata are available (1)."
0,"However, no apparent activity of oseltamivir and zanamivir was previously observed against SARS-CoV-1 in vitro [28] , and the fact that up to 76% of the first critically ill patients with COVID-19 received oseltamivir may also be related to the suspicion of infection (or co-infection) with influenza [29] ."
0,"Moreover, the effects of abidol, oseltamivir, or methylprednisolone in SARS-CoV-2 infection have not been fully evaluated."
4,"Successful cases of remdesivir in treating COVID-19Presently, there have been successful cases of remdesivir in the treating COVID-19."
4,"Recently, tocilizumab a monoclonal antibody that competitively inhibits the binding of IL-6 to its receptor has been used to treat complications of COVID-19 induced pneumonia and China's National Health Commission and the Italian Medicines Agency approved the tocilizumab use in severe patients with extensive lung disease and with elevated IL-6 levels detected by the laboratory."
4,"Molecular docking studies of RNA dependent RNA polymerase model suggest that Sofosbuvir in combination with Ribavirin and Remidisvir could exhibit possible therapeutic effects in SARS-CoV-2 (92)."
0,"Furthermore, there is no evidence supporting claims that ether and chloroform inhalation is useful in the treatment of COVID-19."
2,"There are several anakinra studies registered for COVID-19, testing 100 mg daily subcutaneous injection for 28 days to 400–600 mg/day intravenous for 5–7 days (NCT04339712, NCT04330638)."
2,"Overall, nearly 9.4% of critically ill patients admitted to the ICU with SARS-CoV-2 (55 out of 585 patients) had AKI; these results are summarized in Table 3.Taken together, these findings indicate that kidney function should be closely monitored when treating patients with COVID-19, particularly patients with preexisting CKD and/or abnormal serum creatinine levels, blood urea nitrogen levels, or relevant CT findings [22]."
0,"100 per cent of inhibition of coronavirus replication is not reachable experimentally using hydroxychloroquine."
0,"but chlorine has not effectively inactivated virus, should avoid to use hand disinfectant containing chlorine has set."
0,"the number of sudden cardiac deaths reported with potential COVID-19 treatments are, respectively, 81 and 105 for hydroxychloroquine, 26 and 48 for lopinovir/ritonavir, 54 and 151 for imatinib and 27 and 251 for azithromycin."
4,"Chloroquine was found to be efficient on SARS-CoV-2 [18, 19] ."
4,"Several antiviral therapies have been considered to be potentially effective in treating COVID-19, including oseltamivir, ganciclovir, arbidol and lopinavir / ritonavir."
0,"There are no data currently about the use of remifentanil PCA in obstetric patients with COVID-19 infection."
4,"Twenty out of 21 pregnant patients used ribavirin as the antiviral for the treatment of COVID-19."
0,"there's no evidence to suggest that using ibuprofen to manage symptoms of COVID-19 will worsen the condition"
0,"Furthermore, there is no evidence supporting claims that ether and chloroform inhalation is useful in the treatment of COVID-19."
0,"In summary, despite a reported antiviral activity of chloroquine against COVID-19 in vitro, we found no evidence of a strong antiviral activity or clinical benefit of the combination of hydroxychloroquine and azithromycin for the treatment of our hospitalised patients with severe COVID-19."
4,"It is noted that lopinavir wasobserved to be effective in treating COVID-19 patients."
0,"Although prior treatment with LPV/r failed to improve oxygenation, treatment with ciclesonide coincided with a positive outcome."
0,"also showed that oseltamivir and baloxavir failed to inhibit SARS-CoV-2 in vitro 11 ."
4,"Arbidol, an indole-derivative, has been licensed for decades in Russia and China against influenza."
0,"This may explain why baloxavir failed to block SARS-CoV-2 infection"
0,"Of note, other HIV-1 reverse transcriptase inhibitors such as Tenofovir, Emtricitabine and their combination also failed to show any antiviral effect against SARS-CoV-2"
0,"combination lopinavir and ritonavir recently failed in a clinical trial for COVID-19 with no significant therapeutic efficacy was observed"
0,"There is no evidence that eating garlic has protected people from the new coronavirus"
0,"No evidence on the efficacy of anti-diarrheal drugs is available"
0,"It is noteworthy that the latest study found no evidence of clinical benefit of the combination of hydroxychloroquine and azithromycin for the treatment of 11 patients with severe COVID-19"
0,"Investigators concluded that there is no evidence of a strong antiviral activity or clinical benefit of the combination of HCQ and azithromycin for the treatment of hospitalized patients with severe COVID-19"
0,"Furthermore, there is no evidence supporting claims that ether and chloroform inhalation is useful in the treatment of COVID-19"
0,"Remdesivir is an investigational agent not commercially available, safety and efficacy have not been established in COVID-19 patients."
4,"During the current COVID-19 pandemic, there has been increased interest in using off-label medications for treatment of the novel coronavirus (SARS-CoV-2), including drugs with a propensity for QT prolongation such as hydroxychloroquine and azithromycin."
4,"Additionally, The janus kinase inhibitor baricitinib, which can disrupt receptor mediated endocytosis and interrupt the passage of the virus into cells, was identified to reduce the ability of the virus to infect lung cells and be a potential treatment for 2019-nCoV.35In addition to the therapeutics discussed above, Chinese healthcare practitioners also have started clinical trails of stem cell infusion and traditional Chinese medicine for severe patients."
0,"One group reported no significant difference in time to viral clearance between patients who received methylprednisolone orally (mild disease) or IV (severe) and those who did not ."
2,"In addition, the carbonyl group of baicalein is hydrogen bonded with the backbone amide group of E166."
4,"IntroductionChloroquine, and its hydroxy-analog hydroxychloroquine, was first proposed in 2003 for treatment of the severe acute respiratory syndrome (SARS) [1] and, due to its promising in-vitro effects [2] , was then repurposed as a drug for treatment of COVID-19."
2,"This observation could be explained by the types of calcium channels that each drug blocks; benidipine hydrochloride blocks triple voltage-gated calcium channel inhibitor, whereas lercanidipine hydrochloride blocks single voltage-gated channel (Klein and Köppel H, 1999; Ozawa et al., 2006; Wirtz and Herzig, 2004) .Together, we identified 12 FDA-approved drugs that could be considered for repositioning to MERS-CoV or COVID-19 therapy."
2,"Specifically, the levels of aspartate aminotransferase (AST) and alanine aminotransferase (ALT) on admission were higher in ECMO treated patients (median AST 38."
4,"Colson group have suggested that chloroquine and hydroxychloroquine as available weapons to fight COVID-19 (Colson et al., 2020)."
2,"These are Chloroquine phosphate and hydroxychloroquine sulphate (also known as anti-malarial drugs), arbidol, Remdesivir (GS-5734), Favipitavir and ribavirin (a complex structure but best viewed as ribosyl purine analogues)."
4,"The combined use of Arbidol and Oseltamivir appears to be able to further is associated with a reduction in the mortality."
0,"Concurrent use of azithromycin with hydroxychloroquine for treating COVID-19 is not routinely recommended."
2,"Sarilumab an inhibitor of soluble and membrane IL-6Rα receptors may reduce the severity of the pulmonary complications of COVID-19, including respiratory failure, but there is no evidence that it has anti-viral potential."
4,"aprotinin or camostat) and antivirals provides a 537 promising approach to block SARS-CoV-2 replication that should be tested in cell cultures 538 and animal models and should furthermore be considered as therapeutic strategy for the 539 treatment of COVID-19."
2,"Regarding antiviral interventions, 7 patients received compassionate-use remdesivir, but we have insufficient information to report associated outcomes."
4,"The virus is susceptible to many active ingredients (AI), such as sodium hypochlorite (0.1%–0.5%), 70% ethyl alcohol, povidone-iodine (1% iodine), chloroxylenol (0.24%), 50% isopropanol, 0.05% benzalkonium chloride, 1% cresol soap, or hydrogen peroxide (0.5%–7.0%), etc."
4,"Chloroquine was used as a positive control 37, 38 .Remarkably, at concentration 100 nmol/L, DIP suppressed more than 50% of SARS-CoV-2 replication (Fig."
4,"This is in part because a large study screening existing FDA approved drugs for repurposing as antiviral therapeutics reported three different immunosuppressive agents widely used in transplant recipients-tacrolimus, mycophenolate, and sirolimus-as potential therapies for Covid-19 [1] ."
4,"Certain biologics, notably tocilizumab, an anti-interleukin (IL)-6R antibody, may have some efficacy to prevent death."
4,"HCQ in dose of 200mg three times daily was given to 20 patients for 10 days, additionally six patients in this group received azithromycin (500 mg on day 1, 250mg on days 2-5) to prevent bacterial superinfection."
0,"Nitrogen dioxide may contribute to both diabetes pathogenesis and COVID-19 mortality."
4,"The antiviral drug remdesivir (RDV) can inhibit the growth of COVID-19 and found to be efficacious in the clinic in combination."
0,"As spills are inevitable, surfaces should be cleaned rapidly by using appropriate absorbent and by decontamination with chlorine (5000-10 000 mg/l) or another appropriate disinfectant (note that chlorhexidine is ineffective against COVID-19 and is not appropriate) [12] ."
4,"Specifically, in addition to the Ritonavir, it surprisingly outputs Remdesivir with high confidence, which is a star candidate for COVID19 by blocking the RNA polymerase and has shown initial clinical effects 16 ."
4,"In vitro drug testing has shown the antimalarial hydroxychloroquine to have antiviral activity against SARS-CoV-2 and could be potentially used as chemoprophylaxis for healthcare workers."
2,"The trypsin-like serine protease hepsin which has a fairly broad action and which is significantly inhibited by a diverse set of ligands, a particular example of one such binding is represented by protein data bank entry 5ce1."
4,"Noteworthy, the author would like to stress that on the 9 th of March, 2020, nitazoxanide was previously suggested, among other drugs, by French colleagues to be evaluated for its potential against SARS CoV-2; unfortunately, their recommendation wasn't popular and has been practically ignored 22 ."
2,"More specific to coronaviruses, SARS-CoV-1 was shown to upregulate hfgl2 prothrombinase gene, which may further contribute to thrombin generation and hypercoagulable state in COVID-19 [45]."
2,"Several studies have shown that lower total cholesterol level may be related in part due to lower Cu level in adults [21, 30, 31] ."
2,"SARS-CoV-2 primarily relies on the serine protease TMPRSS2 but can also utilize an alternate pathway involving Cathepsin B/L in TMPRSS2-negative cells 6 ."
4,"Chloroquine is a 9-aminoquinoline that was synthesized in 1934 as an effective substitute for natural quinine used against malaria (Figure 7 ) [89] [90] [91] ."
4,"Tofacitinib and Ruxolitinib are both known to inhibit Janus kinase (Jak), which promote cytokine signaling 14, 15 ."
0,"In this context, our observations evidence that optimal Covid-19 infection management with tocilizumab is not achieved during hyperglycemia both in diabetic and non-diabetic patients."
2,"A first step would be to repeat the in vitro study reported by Caly, Druce (1) with other compounds that could theoretically potentiate ivermectin's inhibition of SARS-COV-2 to ."
2,"with nivolumab, a PD-1 checkpoint inhibitor, without adverse event and with a hold partial response."
2,"In the docking model, baicalein binds well in the substrate binding site of SARS-CoV-2 3CL pro with its 6-OH and 7-OH forming hydrogen bond interactions with the carbonyl group of L141 and the backbone amide group of G143, respectively ( Figure 2A )."
2,"Since the combination of lopinavir and ritonavir was already available in the local hospital, a randomized controlled trial was initiated quickly to assess the efficacy and safety of combined use of lopinavir and ritonavir in patients hospitalized with COVID-19 infection."
4,"Visits for new evaluation of chronic urticaria can be postponed, with referring physicians given instructions to start the patient on every-day-twice-a-day dosing of potent nonsedating antihistamines (eg, cetirizine, fexofenadine, or loratadine), according to best evidence, pending resolution of the COVID-19 pandemic."
0,"On a similar note, there is some suggestion that ibuprofen may increase expression of ACE-2 receptor, potentially increasing binding of the virus to target cells and potentiating the SARS-CoV-2 infection."
4,"Suggested dosing regimens for hydroxychloroquine to treat SARS-CoV-2 infectionThe free lung trough concentrations were also projected from the simulations."
4,"Otherwise, Lanjuan Li, infectious disease scientist, academician of Chinese Academy of Engineering, recommended darunavir (CAS#: 206361-99-1), also an HIV protease inhibitor, as a treatment for COVID-19."
4,"It suggests that chloroquine's binding to Covid-19 proteins will follow the same patterns of attachment to both hydrophobic and thermodynamically active residues."
4,"Three combinations were deemed effective: sirolimus plus dactinomycin, mercaptopurine plus melatonin, and toremifene plus emodin, all of which consisting of at least one anti-cancer agent (an immunosuppressant, an antineoplastic agent and a selective estrogen receptor modulator respectively) (11) .Amidst this rapid evolution of the COVID-19 should be kept in mind the need to respect some clinical research ethics."
0,"The existence of hydroxychloroquine failure in two patients (mother and son) is more suggestive of the last mechanism of resistance."
4,"We therefore recommend that COVID-19 patients be treated with hydroxychloroquine and azithromycin to cure their infection and to limit the transmission of the virus to other people in order to curb the spread of COVID-19 in the world."
4,"Following the SARS outbreak, existing antivirals, including nine protease inhibitors [3] , nelfinavir blocked SARS-CoV-2 replication at lowest concentration (EC 50 = 1.13 µM, CC 50 = 24.32 µM, SI = 21.52)."
2,"In due course, more individual-level data will emerge, and the association between the severity of COVID-19 and many factors, including selenium, can be explored."
2,"Currently, several drugs such as remdesivir, hydroxychloroquine, chloroquine, Ritonavir+Lopinavir, Arbidol and interferon are undergoing randomized controlled trials (RCTs) to test their efficacy and safety for the treatment of COVID-19 in many countries [13] [14] [15] [16] [17] [18] ."
4,"From a recent study of compassionate-use remdesivir, a clinical improvement was observed in 36 of 53 patients (68%)."
2,"Remdesivir is a monophosphoramidate prodrug of an adenine nucleotide analogue."
2,"After the procedure is completed, discuss with the admitting team and draw blood tests from the sheath that may be necessary for COVID-19 and stroke workup if not already done (ie, arterial blood gas, complete blood count, Chem 7, creatine kinase, and hypercoagulable panel in younger patients, B-type natriuretic peptide, troponin, hemoglobin A1c, cholesterol panel, etc) to limit the need for additional blood draws and exposures."
4,"In 2014-2017, ivermectin antiviral drug used for phase 3 treatment of dengue infection, daily oral dose significantly reduced in serum level of viral NS1 protein."
2,"This particularly applies to renin-angiotensin system (RAS) blockers and the non-steroid anti-inflammatory drug (NSAID) ibuprofen, and is based on the idea that these drugs upregulate the expression of Angiotensin-Converting Enzyme (ACE) 2, the receptor which facilitates SARS-CoV-2 entry [3]."
2,"Thus, based on our analysis of the biological pathways of hepatitis C and coronaviruses, the molecular structures and activities of viral inhibitors, model polymerase and SARS-CoV RdRp extension experiments described below, and the efficacy of Sofosbuvir in inhibiting the HCV RdRp, we expect that Sofosbuvir or its modified forms should also inhibit the SARS-CoV-2 polymerase."
4,"Combination therapy with 2019-nCoV specific monoclonal antibodies and remdesivir can be considered as the ideal therapeutic option for 2019-nCoV (Cohen 2020)."
2,"preprint HIV-1 and coronavirus IBV replication 54,55 , and the double-stranded RNA-specific editases 387 ADAR and ADARB1, which catalyse the hydrolytic deamination of adenosine to inosine 49 The idea that SARS-CoV-2 sequesters different elements of the transcriptional machinery is 408 particularly intriguing and is supported by the fact that a large number of proteins identified in our 409 screening are found in stress granules 63 ."
4,"Other countries affected by this pandemic like South Korea and China have drafted guidelines for the use of HCQ and chloroquine for therapeutic treatment of COVID-19"
2,"Since the combination of lopinavir and ritonavir was already available in the designated hospital, a randomised controlled trial has been initiated quickly to assess the efficacy and safety of combined use of lopinavir and ritonavir in patients hospitalised with 2019-nCoV infection."
4,"A retrospective cohort analysis of 201 patients from Wuhan suggested that methylprednisolone might benefit patients who develop ARDS (n=88) by reducing the death rate."
4,"They can be used either alone or in combination with polymerase inhibitors such as remdesivir as a means to achieve potential synergic antiviral effect as well as to suppress drug resistance."
4,"According to articles published in Nature Communications and Nature reviews drug discovery (Sheahan et al, 2020 and Guangdi et al, 2020) [48, 49] , currently, only four drugs (Ritonavir, Darunavir, cobicistat, and ASC09F) are considered for treatment of 2019-nCoV as 3CLpro inhibitors."
4,"Existing drugs that can potentially treat COVID-19 (repurposing)remdesivir, lopinavir and ritonavir in combination; lopinavir/ ritonavir plus interferon-beta; and chloroquine and hydroxychloroquine"
2,"We found 18 clinical trials evaluating hydroxychloroquine or chloroquine, whose mechanism of action is similar."
2,"Given its questionable efficacy in the treatment of COVID-19 and its risk of QT-prolongation, chloroquine treatment must be considered thoroughly, and reviewed on a regular basis."
4,"Current guidelines [26] recommend IFN-alpha, lopinavir/ritonavir, ribavirin, chloroquine phosphate, and arbidol as antiviral therapies."
2,"For instance, significant QT prolongations may result from combinations of hydroxychloroquine and haloperidol."
2,"direct IL-6-mediated blockade of hERG/K v 11.1 potassium channels), ii) cardiac sympathetic nervous system hyperactivity, and iii) inhibition of cytochrome P450 enzymes involved in the metabolism of some QTc-prolonging drugs (e.g."
2,"Predicted heparin binding domains in SARS-CoV-2 S1 RBD (330-583)."
2,"A clinical double-blind, randomized, placebo-controlled trial (NCT04303507) will be initiated in may 2020 to evaluate the potential prevention of COVID-19 by chloroquine at a loading dose of 10 mg base / kg, followed by 150 mg of chloroquine base (250 mg chloroquine phosphate salt) daily for 3 months in 10 000 healthcare workers or other individuals at significant risk."
2,"A large number of therapeutic measures such as low-dose methylprednisolone, chloroquine phosphate, hydroxychloroquine, ribavirin, angiotensin receptor 2 blockers, anti-ageing drugs such as azithromycin, quercetin, rapamycin and doxycycline, IL-1 or IL-1R suppressors, protease inhibitors such as lopinavir/ritonavir, acetazolamide, nifedipine, phosphodiesterase inhibitors, convalescent plasma transfusions, tocilizumab, traditional Chinese medicine, statins, zinc supplements, and therapeutic neutralizing and monoclonal antibodies have been either tried or suggested for patients with COVID-19 over a short span of about 4 months in the desperate hope of an effective treatment of these patients (3) ."
2,"The oxygen atom of the aldehyde group also plays a crucial role in stabilizing the conformations of the inhibitor by forming a 2.9-Å hydrogen bond with the backbone of residues Cys145 in the S1′ site."
0,"Data from the 2002-2003 outbreak indicate that SARS may be associated with lymphopenia, leukopenia, and thrombocytopenia, elevated levels of LDH, alanine transaminase (ALT), AST, and creatine kinase [54, 55] , but also, and not significantly seen, nor consistently reported, in COVID-19 studies and cases, with thrombocytopenia, mild hyponatremia, and hypokalemia."
2,"This is the case for the broad-spectrum macrocyclic lactone ivermectin, as reported by based on their data showing that ivermectin inhibits the replication of SARS-CoV-2 in vitro."
4,"The broad-spectrum antiviral agent ribavirin [8] , protease inhibitor lopinavir and ritonavir [9, 10] and immune up-regulator interferon [11, 12] were most commonly used."
2,"The effectiveness of other medicines and regimens such as Chloroquine, Vitamin C, and Chinese medicine, as well as Lopinavir/Ritonavir combination therapy and Remedesevir are being evaluated in China."
4,"Therefore, some authors have suggested that interfering of IL-6 might be a potentially beneficial for severe and critical COVID-19 [2]"
2,"The available monoclonal antibody therapies (anti-tumor necrosis factor (TNF) therapies, ustekinumab, or vedolizumab) should have their dosing delayed for 2 weeks while monitoring for development of COVID-19."
2,"He developed AKI with serum creatinine 967 mmol/l and eGFR 5 ml/min per 1.73 m 2 (baseline creatinine: 400-450; baseline eGFR: 12-16)."
2,"Recently, human Transmembrane Protease Serine 2 (TMPRSS2) has been shown to carry out the priming of the SARS-CoV-2 spike protein by generating two distinct fragments of the viral spike protein, S1/S2 and S2' (Hoffman et al.,###2020)."
4,"Hence, it is necessary to consider hydroxychloroquine instead of chloroquine when the latter is not available for treating patients with COVID-19."
2,"We found higher leptin levels in SARS-CoV-2 ventilated"
2,"Clinical trials on promising regimens for COVID-19, such as remdesivir, lopinavir, and chloroquine phosphate are ongoing, which shed light on conquering the COVID-19 epidemic 12 "
0,"Remdesivir is not approved to treat any condition by regulatory agencies, including the US FDA or the European Medicines Agency."
4,"Moreover, in vitro studies have demonstrated that mycophenolic acid has activity against other coronaviruses, namely MERS-CoV [2] ."
4,"Due to lack of an effective alternative drugs for treating sick patients in intensive care set up, especially with co-morbidities like diabetes, hypertension, coronary artery disease and immunocompromized status, various drug regulatory authorities have allowed the use of HCQ."
2,"A further study was undertaken, in which the RNA-dependent polymerase (RdRp) of SARS-CoV-2 was modelled, validated and then targeted using anti-polymerase drugs currently registered for use against various viruses (Ribavirin, Remdesivir, Sofosbuvir, Galidesivir and Tenofovir)."
2,"All the trials were filtered out based on the presence of word ""chloroquine"" in the title irrespective of the chemical forms of the molecule (hydroxychloroquine) or trials being carried alone or in combination with other antivira therapies."
4,"For instance, heparin was administered as part of standard of care at Mount Sinai as of April 10, 2020 due to the negative impact of SARS-CoV-2 on coagulation and consequent professional recommendations 19 ."
2,"On 18 February 2020, a 74-year-old Chinese woman with COVID-19 in Thailand was treated at Rajvitjhi Hospital for COVID-19-related pneumonia with a cocktail of HIV and flu drugs [32]."
0,"It thus seems likely that the rapid control of the pulmonary hyperinflammation resulted from tocilizumab treatment."
0,"However, attention should be paid to the potential detrimental effects of chloroquine observed in previous attempts to treat viral diseases."
2,"Crystals were grown from a solution containing 10 mmol/L sodium acetate, 50 mmol/L sodium cacodylate (pH 6."
4,"To summarize the abovementioned data, we can say that IDX-184, Sofosbuvir, and Ribavirin can tightly bind to the newly emerged coronavirus RdRp and hence contradict the function of the protein leading to viral eradication."
4,"By using a physiologically-based pharmacokinetic model for chloroquine phosphate and hydroxychloroquine in human lung fluid, it was demonstrated that the concentrations of hydroxychloroquine recommended for treatment of SARS-CoV-2 infection comprise an oral loading dose of 400 mg twice daily at day 1, followed by an oral maintenance dose of 200 mg twice daily for 4 J o u r n a l P r e -p r o o f days [47] ."
4,"Low-dose prednisolone and tacrolimus therapy may have beneficial impacts on the course of SARS-CoV-2."
4,"Although data from several ongoing randomized, controlled trials will soon provide more informative evidence regarding the safety and efficacy of remdesivir for Covid-19, the outcomes observed in this compassionate-use program are the best currently available data."
2,"This steroid is known to cause fluid retention, electrolyte derangement, and hypertension as direct CV effects, and it also may interact with warfarin via an undescribed mechanism."
4,"Remdesivir has broadspectrum activity against members of several virus families, including filoviruses (e.g., Ebola) and coronaviruses [e.g., SARS-CoV and Middle East respiratory syndrome coronavirus (MERSCoV)] and has shown prophylactic and therapeutic efficacy in nonclinical models of these coronaviruses."
4,"Several clinical trials are underway to provide real-world clinical data on the efficacy of chloroquine and hydroxychloroquine for the treatment of COVID-19 (Supplemental Table) ."
2,"reported that SARS-CoV-2 and SARS-CoV share a common receptor angiotensin-converting enzyme 2 (ACE2) that is required to enter target cells, and cellular protease transmembrane protease serine 2 (TMPRSS2) can cleave and activate the spike protein of SARS-CoV-2 for membrane fusion 4 ."
4,"Validation studies further confirmed 30 known drugs to inhibit viral replication, including four molecules previously approved by the FDA (clofazimine, acitretin, tretinoin, and astemizole) or registered outside the US (tamibarotene)."
2,"Fourth, we were unable to assess hormone profiles in our cohort, including total testosterone, luteinizing hormone, and follicle stimulating hormone, which could provide an assessment of testicular function."
2,"The NIAID trial is a multinational placebo-controlled trail of 440 hospitalized COVID-19 patients, initially comparing remdesivir with placebo."
2,"A recent case report described the use of remdesivir, requested for compassionate use, in the first patients with COVID-19 in the United States."
0,"Old age, hypertension, interleukin-6, and CD8 + T cell exhaustion were significantly associated with the development of pneumonia."
4,"A first step would be to repeat the in vitro study reported by Caly, Druce (1) with other compounds that could theoretically potentiate ivermectin's inhibition of SARS-COV-2 to ."
2,"Sodium hypochlorite required a concentration of at least 0.21% to be effective."
0,"Whereas ribavirin has no characterized direct CV toxicity, lopinavir/ritonavir may result in QT- and PR-interval prolongation, especially in patients who have a baseline abnormality (long QT) or those who are at risk for conduction abnormalities including those taking other QT prolonging drugs (69)."
2,"Therefore, based on all observations reported in this contribution, it has been concluded that any definitive recommendations regarding the potential clinical utility of identified herein potential coronavirus infection mitigating agents, namelyVitamin D and Quercetin, should be made only after appropriately designed and carefully executed preclinical studies and randomized clinical trials."
4,"Hydroxychloroquine and chloroquine, both antimalarial agents, are being investigated as potential treatments of COVID-19 [3] ."
0,"One of the major pathways for NF-kB activation after coronavirus infection is the MyD88 pathway through pattern recognition receptors (PRRs), leading to the induction of a variety of pro-inflammatory cytokines, including interleukin-6 (IL-6), tumor necrosis factor alpha (TNFa) and chemokines (de Wit et al., 2016) .ACE2 is a membrane protein and inactivator of angiotensin 2 (AngII)."
4,"Sirolimus (Z = -2.35 and GSEA score = 3), an inhibitor of mammalian target of rapamycin (mTOR), was reported to effectively block viral protein expression and virion release effectively [47] ."
4,"Chlorpromazine, an antipsychotic (via dopamine D2 antagonism) dating from the 1950s, is also a potent endocytosis inhibitor (which may explain some of its marked side effects, which can include low white blood cell levels)."
4,"Moreover, the ITC profiles in combination with their chemical structures suggest that baicalin and baicalein act as noncovalent inhibitors of SARS-CoV-2 3CLpro with a high ligand binding efficiency."
4,"Administration of tocilizumab (TCZ), an inhibitor of inflammation that has been suggested for used in COVID-19 by Chinese guidelines for COVID-19, seemed to be able to reverse the changes in PLT transiently in patient P1-P6, except P2, but severe thrombocytopenia recurred a few days after the administration (figure 1A)."
4,"Experts and guides for COVID-19 in China have also recommended chloroquine phosphate superior to the treatment of SARS-CoV-2 infection [8, 9] ."
2,"10 Data from a clinical study of 59 patients with COVID-19 (including 28 severe cases) showed that 63% of patients had proteinuria (mild, 47%; moderate, 10%; severe, 6%); 27% of patients with COVID-19 had elevated urea nitrogen levels and 19% of patients with COVID-19 had elevated serum creatinine levels."
2,"However, it has low aqueous solubility and poor oral bioavailability [56] and despite a higher reported SARS-CoV-2 potency [28] than nitazoxanide [27], the Cmax/EC90 ratio was slightly lower."
4,"In China and South Korea lopinavir 200 mg/ritonavir 50 mg has already been used for the treatment of COVID-19."
4,"Thus, losartan may be suggested as a potential agent of protection from lung damage induced by COVID-19."
4,"Many antivirals, including darunavir and cobicistat, are used off-label in the hospital wards as life-treating medicines for COVID-19 patients."
4,"Anecdotal data suggest patients with SARS-CoV-2 treated with systemic unfractionated heparin or LMWH had better clinical outcomes."
4,"This has led to the initiation of several clinical trials and the off-label use of tocilizumab in symptomatic COVID-19 patients."
